LNR;ORT-ID;BEZEICHNUNG;DATUM;WOCHENTAG;RI;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;10905;St.Gallen Stadt Moosbruggst. 2;01.01.2020;Mittwoch;1;34;35;27;17;11;13;7;11;12;21;38;30;50;53;46;56;71;45;48;42;31;35;21;16
1;10905;St.Gallen Stadt Moosbruggst. 2;01.01.2020;Mittwoch;2;20;10;11;9;4;6;6;4;5;6;17;21;41;25;16;22;26;16;19;17;16;8;10;6
2;10905;St.Gallen Stadt Moosbruggst. 2;02.01.2020;Donnerstag;1;5;5;3;4;3;8;16;46;48;46;53;80;74;74;92;96;92;101;98;70;51;40;33;18
3;10905;St.Gallen Stadt Moosbruggst. 2;02.01.2020;Donnerstag;2;5;1;4;2;0;4;10;20;23;24;22;24;33;30;30;52;39;38;29;30;19;17;14;10
4;10905;St.Gallen Stadt Moosbruggst. 2;03.01.2020;Freitag;1;12;8;5;5;4;6;57;69;91;84;106;108;79;110;119;126;115;104;98;77;51;37;38;22
5;10905;St.Gallen Stadt Moosbruggst. 2;03.01.2020;Freitag;2;7;1;5;2;1;2;21;29;29;37;46;55;30;44;46;57;50;59;37;30;18;14;16;7
6;10905;St.Gallen Stadt Moosbruggst. 2;04.01.2020;Samstag;1;18;14;7;4;7;7;12;28;41;69;80;106;78;98;84;84;107;88;77;50;48;38;41;28
7;10905;St.Gallen Stadt Moosbruggst. 2;04.01.2020;Samstag;2;7;4;6;2;2;3;6;6;16;30;29;59;19;34;31;40;31;50;26;27;29;14;16;9
8;10905;St.Gallen Stadt Moosbruggst. 2;05.01.2020;Sonntag;1;23;20;13;13;11;13;12;12;27;49;71;59;59;61;65;74;64;74;64;63;35;20;16;11
9;10905;St.Gallen Stadt Moosbruggst. 2;05.01.2020;Sonntag;2;12;5;5;4;6;2;4;1;15;16;27;22;22;24;17;28;23;25;33;21;18;6;1;3
10;10905;St.Gallen Stadt Moosbruggst. 2;06.01.2020;Montag;1;2;4;1;0;4;13;76;163;123;83;103;115;115;125;122;115;142;204;126;60;43;32;39;15
11;10905;St.Gallen Stadt Moosbruggst. 2;06.01.2020;Montag;2;0;2;4;1;0;3;21;38;55;46;52;50;44;45;42;54;78;92;45;41;21;8;14;2
12;10905;St.Gallen Stadt Moosbruggst. 2;07.01.2020;Dienstag;1;7;5;6;2;1;11;92;176;129;111;112;101;112;129;114;117;141;205;153;99;51;43;17;19
13;10905;St.Gallen Stadt Moosbruggst. 2;07.01.2020;Dienstag;2;2;1;4;1;0;5;22;44;56;55;58;68;43;61;44;51;75;102;74;47;26;13;17;9
14;10905;St.Gallen Stadt Moosbruggst. 2;08.01.2020;Mittwoch;1;5;1;4;3;2;11;79;177;145;131;129;135;110;157;107;84;140;193;153;100;63;44;33;18
15;10905;St.Gallen Stadt Moosbruggst. 2;08.01.2020;Mittwoch;2;3;1;2;1;2;4;26;63;58;51;58;67;52;50;61;53;67;76;66;50;28;22;18;18
16;10905;St.Gallen Stadt Moosbruggst. 2;09.01.2020;Donnerstag;1;6;3;1;4;3;9;73;211;141;109;118;130;106;129;91;114;163;202;166;93;73;49;39;23
17;10905;St.Gallen Stadt Moosbruggst. 2;09.01.2020;Donnerstag;2;5;3;0;3;2;6;24;51;60;52;70;80;44;61;46;70;74;85;65;41;37;26;16;10
18;10905;St.Gallen Stadt Moosbruggst. 2;10.01.2020;Freitag;1;11;3;3;1;3;15;76;198;130;118;113;145;124;127;179;119;148;171;154;93;70;68;39;29
19;10905;St.Gallen Stadt Moosbruggst. 2;10.01.2020;Freitag;2;6;1;4;0;1;6;21;62;55;53;62;81;59;62;63;57;82;82;55;38;25;30;24;21
20;10905;St.Gallen Stadt Moosbruggst. 2;11.01.2020;Samstag;1;21;14;5;3;7;5;26;36;60;91;86;92;103;80;107;111;93;90;95;68;50;46;44;40
21;10905;St.Gallen Stadt Moosbruggst. 2;11.01.2020;Samstag;2;14;10;2;3;3;4;7;20;24;32;30;36;51;38;37;48;35;43;22;30;24;17;22;21
22;10905;St.Gallen Stadt Moosbruggst. 2;12.01.2020;Sonntag;1;28;23;19;6;17;3;6;10;28;48;73;68;67;68;73;71;79;84;73;54;31;33;14;7
