LNR;ORT-ID;BEZEICHNUNG;DATUM;WOCHENTAG;RI;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;10918;St.Gallen Gallusst./Webergasse;01.01.2020;Mittwoch;1;12;18;11;10;9;9;7;8;14;19;24;15;29;18;18;22;25;21;20;12;17;17;10;9
1;10918;St.Gallen Gallusst./Webergasse;02.01.2020;Donnerstag;1;4;2;6;3;4;9;11;27;31;36;39;33;36;33;36;54;44;37;38;29;24;13;8;4
2;10918;St.Gallen Gallusst./Webergasse;03.01.2020;Freitag;1;2;3;3;2;2;9;30;45;47;58;47;51;45;50;41;57;56;59;48;28;19;13;15;8
3;10918;St.Gallen Gallusst./Webergasse;04.01.2020;Samstag;1;5;7;5;2;4;5;16;20;26;38;42;43;33;34;28;30;37;45;38;20;17;10;17;13
4;10918;St.Gallen Gallusst./Webergasse;05.01.2020;Sonntag;1;3;4;3;1;6;9;9;5;13;13;21;14;32;25;22;26;29;21;29;24;19;13;5;4
5;10918;St.Gallen Gallusst./Webergasse;06.01.2020;Montag;1;3;1;1;1;2;8;35;73;81;73;80;56;39;66;65;57;74;58;49;26;14;18;19;9
6;10918;St.Gallen Gallusst./Webergasse;07.01.2020;Dienstag;1;1;2;2;1;2;11;38;93;75;70;80;87;53;68;84;68;75;77;67;42;22;15;18;5
7;10918;St.Gallen Gallusst./Webergasse;08.01.2020;Mittwoch;1;6;1;4;3;2;9;43;81;72;94;86;64;62;63;63;62;60;59;49;42;26;9;14;11
8;10918;St.Gallen Gallusst./Webergasse;09.01.2020;Donnerstag;1;7;1;1;3;3;12;44;82;70;110;90;72;50;73;60;59;89;73;53;26;17;19;13;11
9;10918;St.Gallen Gallusst./Webergasse;10.01.2020;Freitag;1;8;3;1;0;5;9;34;83;82;197;83;68;51;64;70;68;92;80;44;40;26;16;21;13
10;10918;St.Gallen Gallusst./Webergasse;11.01.2020;Samstag;1;8;11;4;3;5;4;11;20;51;53;48;50;48;45;42;34;40;39;36;25;24;15;17;16
11;10918;St.Gallen Gallusst./Webergasse;12.01.2020;Sonntag;1;11;13;3;3;6;3;4;9;20;29;34;25;24;22;18;21;38;32;23;24;13;6;6;2
12;10918;St.Gallen Gallusst./Webergasse;13.01.2020;Montag;1;3;0;2;1;2;8;41;58;75;75;69;70;39;56;73;80;65;72;53;35;11;23;10;6
13;10918;St.Gallen Gallusst./Webergasse;14.01.2020;Dienstag;1;9;2;0;3;4;9;34;99;108;78;82;82;42;75;71;72;74;68;63;44;19;11;18;9
14;10918;St.Gallen Gallusst./Webergasse;15.01.2020;Mittwoch;1;3;2;2;5;0;10;38;91;67;87;87;94;53;78;76;54;70;83;50;37;21;22;11;6
15;10918;St.Gallen Gallusst./Webergasse;16.01.2020;Donnerstag;1;7;5;5;4;3;12;43;81;96;89;86;72;42;78;77;62;78;69;52;34;32;23;15;11
16;10918;St.Gallen Gallusst./Webergasse;17.01.2020;Freitag;1;5;1;5;3;0;12;42;77;110;75;95;80;43;70;65;69;76;80;85;35;23;17;18;23
17;10918;St.Gallen Gallusst./Webergasse;18.01.2020;Samstag;1;21;10;4;1;2;7;14;18;42;53;55;43;45;41;36;44;40;51;29;24;29;15;18;15
18;10918;St.Gallen Gallusst./Webergasse;19.01.2020;Sonntag;1;15;5;7;6;3;2;11;3;4;14;30;19;21;22;31;25;36;23;23;22;13;14;13;1
19;10918;St.Gallen Gallusst./Webergasse;20.01.2020;Montag;1;9;2;4;2;2;11;29;85;90;75;74;68;47;56;69;60;61;71;55;30;18;15;9;6
20;10918;St.Gallen Gallusst./Webergasse;21.01.2020;Dienstag;1;2;1;7;0;2;16;46;75;87;83;88;75;52;87;67;70;82;77;62;42;24;16;12;6
21;10918;St.Gallen Gallusst./Webergasse;22.01.2020;Mittwoch;1;3;2;2;0;5;11;34;78;76;92;83;79;51;68;63;52;65;76;54;31;23;21;15;5
22;10918;St.Gallen Gallusst./Webergasse;23.01.2020;Donnerstag;1;4;2;2;4;4;6;43;85;71;85;100;69;57;74;74;71;59;82;58;31;25;14;10;12
23;10918;St.Gallen Gallusst./Webergasse;24.01.2020;Freitag;1;5;0;1;2;3;11;39;72;76;71;82;89;54;65;68;61;63;62;51;32;29;17;16;22
24;10918;St.Gallen Gallusst./Webergasse;25.01.2020;Samstag;1;13;8;8;8;3;9;11;12;36;46;50;54;33;43;37;36;34;39;25;33;16;12;14;14
25;10918;St.Gallen Gallusst./Webergasse;26.01.2020;Sonntag;1;9;6;4;4;7;4;2;8;9;13;33;33;21;18;13;19;19;26;23;19;20;9;9;4
26;10918;St.Gallen Gallusst./Webergasse;27.01.2020;Montag;1;1;2;2;0;1;4;29;64;66;61;66;60;49;73;56;56;75;44;39;38;20;11;11;8
27;10918;St.Gallen Gallusst./Webergasse;28.01.2020;Dienstag;1;0;2;1;2;0;10;44;86;78;81;88;73;37;57;54;53;78;60;40;24;19;10;13;10
28;10918;St.Gallen Gallusst./Webergasse;29.01.2020;Mittwoch;1;2;3;5;2;2;7;35;71;84;80;64;85;47;76;57;68;60;55;45;23;18;23;11;6
29;10918;St.Gallen Gallusst./Webergasse;30.01.2020;Donnerstag;1;3;2;1;2;2;7;38;74;70;65;78;74;53;73;79;66;67;64;52;38;22;23;20;9
30;10918;St.Gallen Gallusst./Webergasse;31.01.2020;Freitag;1;4;0;2;1;4;4;40;79;83;96;86;83;58;68;58;63;54;77;38;31;30;23;18;13
31;10918;St.Gallen Gallusst./Webergasse;01.02.2020;Samstag;1;9;5;4;6;3;4;13;21;32;32;47;52;39;43;32;30;32;40;41;27;24;29;16;18
32;10918;St.Gallen Gallusst./Webergasse;02.02.2020;Sonntag;1;7;5;5;9;4;2;6;11;12;29;21;20;28;28;16;20;25;22;26;34;16;10;8;5
33;10918;St.Gallen Gallusst./Webergasse;03.02.2020;Montag;1;1;1;4;2;6;10;38;75;86;73;78;59;46;72;76;54;61;68;46;25;18;8;6;4
34;10918;St.Gallen Gallusst./Webergasse;04.02.2020;Dienstag;1;0;4;1;4;4;15;42;102;92;99;63;68;48;73;59;67;64;80;55;35;22;19;19;6
35;10918;St.Gallen Gallusst./Webergasse;05.02.2020;Mittwoch;1;0;2;1;2;4;10;47;74;74;81;71;66;46;87;71;43;80;58;60;36;20;18;15;4
36;10918;St.Gallen Gallusst./Webergasse;06.02.2020;Donnerstag;1;7;3;2;2;1;9;38;76;83;93;85;102;53;77;71;67;73;70;51;37;16;23;12;8
37;10918;St.Gallen Gallusst./Webergasse;07.02.2020;Freitag;1;6;2;2;2;1;14;41;83;81;73;94;71;66;68;78;64;65;84;46;36;31;16;17;19
38;10918;St.Gallen Gallusst./Webergasse;08.02.2020;Samstag;1;14;9;5;3;3;7;13;26;32;40;58;50;34;38;36;34;35;34;26;23;17;24;16;9
39;10918;St.Gallen Gallusst./Webergasse;09.02.2020;Sonntag;1;9;11;3;10;5;3;7;5;5;15;30;25;27;22;19;21;11;22;21;20;7;11;4;1
40;10918;St.Gallen Gallusst./Webergasse;10.02.2020;Montag;1;2;0;5;1;2;11;38;75;73;57;88;69;56;68;54;62;67;83;48;35;27;13;9;9
41;10918;St.Gallen Gallusst./Webergasse;11.02.2020;Dienstag;1;1;2;5;1;3;9;37;78;93;97;85;74;51;73;55;57;88;66;61;39;31;26;15;13
42;10918;St.Gallen Gallusst./Webergasse;12.02.2020;Mittwoch;1;5;1;4;1;4;10;46;81;83;72;88;102;49;71;56;48;64;67;61;47;24;21;13;8
43;10918;St.Gallen Gallusst./Webergasse;13.02.2020;Donnerstag;1;4;5;3;2;2;15;38;97;61;79;79;74;51;59;74;69;67;85;67;44;38;29;15;10
