LNR;ORT-ID;BEZEICHNUNG;DATUM;WOCHENTAG;RI;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;11050;St.Gallen Stadt Lerchental;01.01.2020;Mittwoch;1;3;0;0;1;0;1;1;3;4;1;2;3;1;2;5;5;4;6;7;1;1;0;1;0
1;11050;St.Gallen Stadt Lerchental;01.01.2020;Mittwoch;2;2;1;1;1;1;3;0;1;2;0;5;4;1;2;6;5;1;1;2;2;2;1;3;0
2;11050;St.Gallen Stadt Lerchental;02.01.2020;Donnerstag;1;0;0;1;0;3;3;6;10;32;31;57;56;56;36;45;61;56;49;31;18;5;4;2;1
3;11050;St.Gallen Stadt Lerchental;02.01.2020;Donnerstag;2;2;0;2;0;3;7;23;53;32;52;64;62;46;59;56;45;51;42;15;6;2;2;3;0
4;11050;St.Gallen Stadt Lerchental;03.01.2020;Freitag;1;0;1;0;0;0;0;7;10;19;27;56;72;66;40;65;76;72;68;28;11;9;1;2;1
5;11050;St.Gallen Stadt Lerchental;03.01.2020;Freitag;2;0;2;1;0;0;0;29;72;46;41;58;67;42;77;58;76;57;43;15;3;5;1;2;0
6;11050;St.Gallen Stadt Lerchental;04.01.2020;Samstag;1;1;0;0;3;0;3;4;6;10;30;39;48;54;49;47;52;44;23;5;5;4;2;1;2
7;11050;St.Gallen Stadt Lerchental;04.01.2020;Samstag;2;1;1;1;3;1;5;4;13;19;33;46;56;46;47;45;55;46;7;5;2;1;4;2;2
8;11050;St.Gallen Stadt Lerchental;05.01.2020;Sonntag;1;1;0;0;0;0;1;3;1;5;5;6;6;6;9;7;5;16;2;11;3;2;2;0;0
9;11050;St.Gallen Stadt Lerchental;05.01.2020;Sonntag;2;0;0;2;0;0;2;1;0;5;3;2;6;7;9;6;5;8;1;5;4;3;1;1;1
10;11050;St.Gallen Stadt Lerchental;06.01.2020;Montag;1;0;0;0;2;0;0;9;24;45;66;66;85;86;52;70;87;88;113;52;26;6;1;1;0
11;11050;St.Gallen Stadt Lerchental;06.01.2020;Montag;2;0;0;2;1;0;6;52;163;113;72;72;68;64;106;87;77;70;51;28;4;5;1;2;0
12;11050;St.Gallen Stadt Lerchental;07.01.2020;Dienstag;1;3;0;1;1;0;1;10;37;47;52;70;114;74;64;72;72;75;115;58;15;12;2;1;1
13;11050;St.Gallen Stadt Lerchental;07.01.2020;Dienstag;2;1;0;2;1;0;7;62;169;98;75;71;69;64;99;83;69;60;50;27;0;5;2;0;1
14;11050;St.Gallen Stadt Lerchental;08.01.2020;Mittwoch;1;0;0;1;1;1;0;9;33;52;61;50;86;71;43;70;63;81;121;48;24;4;0;1;5
15;11050;St.Gallen Stadt Lerchental;08.01.2020;Mittwoch;2;0;0;1;2;0;1;62;173;104;87;69;56;52;104;82;75;64;57;13;2;3;5;2;0
16;11050;St.Gallen Stadt Lerchental;09.01.2020;Donnerstag;1;0;0;0;1;1;1;14;43;60;63;89;113;69;49;69;96;89;120;61;27;5;3;1;0
17;11050;St.Gallen Stadt Lerchental;09.01.2020;Donnerstag;2;0;0;1;1;0;3;62;194;108;78;100;70;68;120;81;81;76;68;21;14;3;2;1;0
18;11050;St.Gallen Stadt Lerchental;10.01.2020;Freitag;1;0;0;1;1;1;2;7;35;52;68;71;88;86;61;72;62;100;97;46;17;2;2;4;1
