LNR;ORT-ID;BEZEICHNUNG;DATUM;WOCHENTAG;RI;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;10951;St.Gallen Stadt Gaiserwaldstr.;01.01.2020;Mittwoch;1;0;2;1;0;1;0;0;0;5;3;6;6;5;6;15;10;19;10;7;5;3;2;1;3
1;10951;St.Gallen Stadt Gaiserwaldstr.;01.01.2020;Mittwoch;2;0;3;0;1;1;1;0;0;11;4;7;5;7;13;9;14;14;7;7;5;3;4;4;2
2;10951;St.Gallen Stadt Gaiserwaldstr.;01.01.2020;Mittwoch;3;44;101;71;38;37;21;16;29;93;160;129;161;179;258;298;310;349;324;245;225;146;78;55;45
3;10951;St.Gallen Stadt Gaiserwaldstr.;01.01.2020;Mittwoch;4;31;41;35;25;18;13;12;8;15;27;38;59;67;75;105;90;125;110;93;90;71;68;56;43
4;10951;St.Gallen Stadt Gaiserwaldstr.;01.01.2020;Mittwoch;5;57;119;89;50;39;27;22;40;111;242;175;202;238;367;395;393;491;426;307;319;181;94;62;36
5;10951;St.Gallen Stadt Gaiserwaldstr.;01.01.2020;Mittwoch;6;71;114;74;52;31;23;35;35;46;77;119;214;250;325;368;312;424;370;337;390;299;222;227;120
6;10951;St.Gallen Stadt Gaiserwaldstr.;01.01.2020;Mittwoch;7;62;109;67;39;30;20;31;30;43;60;97;195;237;302;338;302;392;365;336;381;296;213;208;124
7;10951;St.Gallen Stadt Gaiserwaldstr.;01.01.2020;Mittwoch;8;37;55;46;26;19;17;14;16;39;93;67;80;116;169;167;169;235;206;153;173;105;77;42;34
8;10951;St.Gallen Stadt Gaiserwaldstr.;02.01.2020;Donnerstag;1;0;4;0;0;1;4;13;15;41;163;301;440;469;472;524;575;585;465;295;202;122;50;22;6
9;10951;St.Gallen Stadt Gaiserwaldstr.;02.01.2020;Donnerstag;2;1;2;0;1;2;7;26;44;123;319;423;493;450;492;594;517;472;286;196;114;44;6;10;3
